geoid,county_name,in_brightline_corridor,in_comparison_pool,treated_brightline,donor_pool,dist_to_nearest_station_mile,nearest_station,nearest_opened_year,exposure_0_0_5,exposure_0_5_1,exposure_1_2,exposure_2_3
12031014422,Duval,False,True,0,1,127.92806274101457,Orlando,2023.0,0.0,0.0,0.0,0.0
12086000118,Other,False,False,0,0,2.3914067893826676,Aventura,2022.0,0.0,0.0,0.0,1.0
12011010406,Broward,True,False,0,0,5.987343827716347,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12011040101,Broward,True,False,0,0,5.189858334496237,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011050401,Broward,True,False,0,0,3.7551078763425294,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12086013700,Other,False,False,0,0,10.125217766755133,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086002502,Other,False,False,0,0,2.2487919994476266,MiamiCentral,2018.0,0.0,0.0,0.21505240432765899,0.7849475956723493
12095017122,Orange,True,False,0,0,10.976131280620857,Orlando,2023.0,0.0,0.0,0.0,0.0
12086002710,Other,False,False,0,0,1.5843633701482593,MiamiCentral,2018.0,0.0,0.0577388706954201,0.8197990776179801,0.12246205168660435
12099002005,Palm Beach,True,False,0,0,1.9662069729006493,West Palm Beach,2018.0,0.0,0.0,0.5361092789249413,0.46389072107506163
12099007414,Palm Beach,True,False,0,0,4.536229161964275,Boca Raton,2022.0,0.0,0.0,0.0,0.011606439746865236
12099006010,Palm Beach,True,False,0,0,11.683884734246782,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12099007202,Palm Beach,True,False,0,0,2.0378922089755087,Boca Raton,2022.0,0.0,0.00016489385239576296,0.4444155582606521,0.5554195478869588
12099007612,Palm Beach,True,False,0,0,3.096626948572029,Boca Raton,2022.0,0.0,0.0,0.0,0.4403929681655466
12001001519,Alachua,False,True,0,1,105.15775720042362,Orlando,2023.0,0.0,0.0,0.0,0.0
12086010302,Other,False,False,0,0,22.811899030365957,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086006721,Other,False,False,0,0,1.1088249316256493,MiamiCentral,2018.0,0.0,0.009109029852429397,0.9908909701475785,0.0
12086000221,Other,False,False,0,0,2.10606857656283,Aventura,2022.0,0.0,0.0,0.21910198799487604,0.7808980120051233
12021010421,Collier,False,True,0,1,96.13612923038514,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12021010519,Collier,False,True,0,1,96.939912394646,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12086010023,Other,False,False,0,0,6.303094163977655,Aventura,2022.0,0.0,0.0,0.0,0.0
12086008704,Other,False,False,0,0,11.959499541235905,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12073001803,Leon,False,True,0,1,223.9498544319645,Orlando,2023.0,0.0,0.0,0.0,0.0
12086009060,Other,False,False,0,0,11.983871141043258,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086014701,Other,False,False,0,0,12.39881651791221,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086019902,Other,False,False,0,0,18.37886085108663,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086019302,Other,False,False,0,0,16.029854275446265,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12073000905,Leon,False,True,0,1,224.5462923098383,Orlando,2023.0,0.0,0.0,0.0,0.0
12071040126,Lee,False,True,0,1,101.48445374610628,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12031014417,Duval,False,True,0,1,126.65167206557251,Orlando,2023.0,0.0,0.0,0.0,0.0
12057011528,Hillsborough,False,True,0,1,83.62899592603303,Orlando,2023.0,0.0,0.0,0.0,0.0
12099990100,Palm Beach,True,False,0,0,45.24556236009472,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12115002710,Sarasota,False,True,0,1,110.42444486215966,Orlando,2023.0,0.0,0.0,0.0,0.0
12057004300,Hillsborough,False,True,0,1,77.4372312771943,Orlando,2023.0,0.0,0.0,0.0,0.0
12001001803,Alachua,False,True,0,1,110.76850522962495,Orlando,2023.0,0.0,0.0,0.0,0.0
12011050306,Broward,True,False,0,0,4.834587215832906,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011070403,Broward,True,False,0,0,9.320205028949612,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011010502,Broward,True,False,0,0,6.495682668403123,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12099000216,Palm Beach,True,False,0,0,14.572197863721177,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12057006000,Hillsborough,False,True,0,1,79.55352363182506,Orlando,2023.0,0.0,0.0,0.0,0.0
12057000401,Hillsborough,False,True,0,1,74.43222396731821,Orlando,2023.0,0.0,0.0,0.0,0.0
12057004200,Hillsborough,False,True,0,1,76.98367292377736,Orlando,2023.0,0.0,0.0,0.0,0.0
12086005901,Other,False,False,0,0,6.382969411041037,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086008906,Other,False,False,0,0,10.41719636336259,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086009014,Other,False,False,0,0,8.286354110389418,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086001802,Other,False,False,0,0,3.3411769014532955,MiamiCentral,2018.0,0.0,0.0,0.0,0.05207104283641587
12086003916,Other,False,False,0,0,6.137951938241575,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086000601,Other,False,False,0,0,8.1966989321406,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086000219,Other,False,False,0,0,5.062283174754462,Aventura,2022.0,0.0,0.0,0.0,0.0
12031016801,Duval,False,True,0,1,123.38210567106741,Orlando,2023.0,0.0,0.0,0.0,0.0
12031013100,Duval,False,True,0,1,128.7272915434833,Orlando,2023.0,0.0,0.0,0.0,0.0
12095017703,Orange,True,False,0,0,22.024602658815464,Orlando,2023.0,0.0,0.0,0.0,0.0
12095016001,Orange,True,False,0,0,13.03223330237532,Orlando,2023.0,0.0,0.0,0.0,0.0
12071010802,Lee,False,True,0,1,115.6488427184252,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12071001501,Lee,False,True,0,1,112.21625677325542,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12086009101,Other,False,False,0,0,7.58295114820302,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086981300,Other,False,False,0,0,18.266119443487177,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086018001,Other,False,False,0,0,17.64709846969682,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086016501,Other,False,False,0,0,16.679230398183307,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086011602,Other,False,False,0,0,9.565350340391431,Aventura,2022.0,0.0,0.0,0.0,0.0
12086000713,Other,False,False,0,0,9.245439227828914,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12071020502,Lee,False,True,0,1,111.9966054567746,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12011042602,Broward,True,False,1,0,0.6892385520736336,Fort Lauderdale,2018.0,0.16335824045299768,0.7691595959185709,0.0674821636284221,0.0
12073001102,Leon,False,True,0,1,226.3408217661017,Orlando,2023.0,0.0,0.0,0.0,0.0
12057002100,Hillsborough,False,True,0,1,75.2574237552352,Orlando,2023.0,0.0,0.0,0.0,0.0
12057011003,Hillsborough,False,True,0,1,72.43786190228546,Orlando,2023.0,0.0,0.0,0.0,0.0
12086006104,Other,False,False,0,0,5.748785936918181,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086013302,Other,False,False,0,0,11.856038741953844,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086018602,Other,False,False,0,0,15.977007662734833,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086009602,Other,False,False,0,0,3.1411204608294256,Aventura,2022.0,0.0,0.0,0.0,0.34727570048058876
12011100600,Broward,True,False,0,0,2.585137868813171,Aventura,2022.0,0.0,0.0,0.003209798044141472,0.9267536954560294
12086014900,Other,False,False,0,0,13.632530571885098,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12021010419,Collier,False,True,0,1,97.34200590379446,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12021010508,Collier,False,True,0,1,98.49022655786592,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12086010015,Other,False,False,0,0,8.622141486268408,Aventura,2022.0,0.0,0.0,0.0,0.0
12086980800,Other,False,False,0,0,8.703380162804738,Aventura,2022.0,0.0,0.0,0.0,0.0
12086011009,Other,False,False,0,0,24.906369813384416,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12011070402,Broward,True,False,0,0,10.070216927158121,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011060209,Broward,True,False,0,0,6.37209267656406,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12071040211,Lee,False,True,0,1,96.11435151605603,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12095016740,Orange,True,False,0,0,11.463337295346841,Orlando,2023.0,0.0,0.0,0.0,0.0
12071001911,Lee,False,True,0,1,115.44445625988294,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12095018000,Orange,True,False,0,0,14.487184789498816,Orlando,2023.0,0.0,0.0,0.0,0.0
12031014001,Duval,False,True,0,1,131.50282139112613,Orlando,2023.0,0.0,0.0,0.0,0.0
12021010520,Collier,False,True,0,1,97.57733042021539,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12095017402,Orange,True,False,0,0,18.820696839445095,Orlando,2023.0,0.0,0.0,0.0,0.0
12099005820,Palm Beach,True,False,0,0,10.494637228881848,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12115002510,Sarasota,False,True,0,1,114.51367204974947,Orlando,2023.0,0.0,0.0,0.0,0.0
12057010809,Hillsborough,False,True,0,1,70.60314239451884,Orlando,2023.0,0.0,0.0,0.0,0.0
12057012103,Hillsborough,False,True,0,1,69.58862165472462,Orlando,2023.0,0.0,0.0,0.0,0.0
12011110337,Broward,True,False,0,0,9.160755257431388,Aventura,2022.0,0.0,0.0,0.0,0.0
12011060609,Broward,True,False,0,0,8.018701550153093,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011060607,Broward,True,False,0,0,6.2280626363507725,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12099004705,Palm Beach,True,False,0,0,7.634203049046161,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12099007716,Palm Beach,True,False,0,0,6.94146217198334,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12099005953,Palm Beach,True,False,0,0,10.383081464872394,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12099006908,Palm Beach,True,False,0,0,6.298499116647874,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12001001811,Alachua,False,True,0,1,111.6384251857151,Orlando,2023.0,0.0,0.0,0.0,0.0
12057011806,Hillsborough,False,True,0,1,78.0663535692528,Orlando,2023.0,0.0,0.0,0.0,0.0
12057010822,Hillsborough,False,True,0,1,73.29583641579117,Orlando,2023.0,0.0,0.0,0.0,0.0
12031016606,Duval,False,True,0,1,128.3978682609077,Orlando,2023.0,0.0,0.0,0.0,0.0
12031014418,Duval,False,True,0,1,125.74492326274562,Orlando,2023.0,0.0,0.0,0.0,0.0
12099007777,Palm Beach,True,False,0,0,8.774276818222798,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12001001818,Alachua,False,True,0,1,122.8760889710337,Orlando,2023.0,0.0,0.0,0.0,0.0
12031016500,Duval,False,True,0,1,127.69097896323123,Orlando,2023.0,0.0,0.0,0.0,0.0
12031013522,Duval,False,True,0,1,127.28559431121646,Orlando,2023.0,0.0,0.0,0.0,0.0
12071010701,Lee,False,True,0,1,114.79549460688133,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12099000222,Palm Beach,True,False,0,0,15.037094514181437,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12099005818,Palm Beach,True,False,0,0,11.671362095447412,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12095012701,Orange,True,False,0,0,12.015657026118504,Orlando,2023.0,0.0,0.0,0.0,0.0
12011060105,Broward,True,False,0,0,8.094527289698117,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011060207,Broward,True,False,0,0,6.918564792521932,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12021010422,Collier,False,True,0,1,96.23099029286895,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12057011611,Hillsborough,False,True,0,1,79.83945979699502,Orlando,2023.0,0.0,0.0,0.0,0.0
12057012303,Hillsborough,False,True,0,1,67.37322268481567,Orlando,2023.0,0.0,0.0,0.0,0.0
12086005409,Other,False,False,0,0,2.0331405262341833,MiamiCentral,2018.0,0.0,0.0,0.42759033677111746,0.5724096632288728
12086009904,Other,False,False,0,0,5.617746024655019,Aventura,2022.0,0.0,0.0,0.0,0.0
12086000402,Other,False,False,0,0,6.130382942816852,Aventura,2022.0,0.0,0.0,0.0,0.0
12095013803,Orange,True,False,0,0,6.593094971266212,Orlando,2023.0,0.0,0.0,0.0,0.0
12071001103,Lee,False,True,0,1,111.17256926901662,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12086006719,Other,False,False,0,0,1.0265100350447716,MiamiCentral,2018.0,0.0,0.35873468324885827,0.6412653167511,0.0
12095017023,Orange,True,False,0,0,11.73502536210144,Orlando,2023.0,0.0,0.0,0.0,0.0
12031011200,Duval,False,True,0,1,138.47845035518864,Orlando,2023.0,0.0,0.0,0.0,0.0
12115001102,Sarasota,False,True,0,1,103.34142507383271,Orlando,2023.0,0.0,0.0,0.0,0.0
12073002403,Leon,False,True,0,1,227.05063902963744,Orlando,2023.0,0.0,0.0,0.0,0.0
12071050603,Lee,False,True,0,1,103.15332766108759,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12071010419,Lee,False,True,0,1,119.67518285564863,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12071000303,Lee,False,True,0,1,109.648181028354,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12086004608,Other,False,False,0,0,6.625871178253317,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12057014200,Hillsborough,False,True,0,1,75.9613603103428,Orlando,2023.0,0.0,0.0,0.0,0.0
12086006722,Other,False,False,0,0,1.144716754186014,MiamiCentral,2018.0,0.0,0.0,0.9999999999999999,0.0
12021010427,Collier,False,True,0,1,95.1724040837341,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12095014503,Orange,True,False,0,0,8.843031483059484,Orlando,2023.0,0.0,0.0,0.0,0.0
12031016808,Duval,False,True,0,1,122.81729353027158,Orlando,2023.0,0.0,0.0,0.0,0.0
12011110301,Broward,True,False,0,0,17.75909961979888,Aventura,2022.0,0.0,0.0,0.0,0.0
12031011300,Duval,False,True,0,1,138.62644730566626,Orlando,2023.0,0.0,0.0,0.0,0.0
12086006103,Other,False,False,0,0,5.288500531545831,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12011050501,Broward,True,False,0,0,4.232697082156079,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12099004008,Palm Beach,True,False,0,0,5.782154849579447,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12099007738,Palm Beach,True,False,0,0,5.810273170719265,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12001000808,Alachua,False,True,0,1,104.25043352523693,Orlando,2023.0,0.0,0.0,0.0,0.0
12071010302,Lee,False,True,0,1,115.49979136032292,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12011060107,Broward,True,False,0,0,6.567529973279335,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12071040313,Lee,False,True,0,1,94.95234973248996,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12086006003,Other,False,False,0,0,7.103750062246147,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086011011,Other,False,False,0,0,26.1244138154526,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086011014,Other,False,False,0,0,26.510875654671302,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086009505,Other,False,False,0,0,4.194963765338429,Aventura,2022.0,0.0,0.0,0.0,0.0
12086008805,Other,False,False,0,0,9.371565360277993,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12057013501,Hillsborough,False,True,0,1,74.43199348919978,Orlando,2023.0,0.0,0.0,0.0,0.0
12086007300,Other,False,False,0,0,5.570404494059225,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12086010709,Other,False,False,0,0,20.442714897833465,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12095012402,Orange,True,False,0,0,14.925468717864787,Orlando,2023.0,0.0,0.0,0.0,0.0
12031014312,Duval,False,True,0,1,130.450028341025,Orlando,2023.0,0.0,0.0,0.0,0.0
12071010111,Lee,False,True,0,1,120.82614049273651,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12071001916,Lee,False,True,0,1,113.69109455481413,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
